FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,UniqueID
UMMZ.134618.supe.cn.f.00000002,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat,0,0,0,0,2,,29
UMMZ.134618.supe.cn.f.00000003,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat,0,0,0,0,3,,30
UMMZ.134618.supe.cr.f.00000001,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,crown,0,0,0,0,1,,31
UMMZ.134618.supe.cr.f.00000002,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,crown,0,0,0,0,2,,32
UMMZ.134618.supe.cr.f.00000003,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,crown,0,0,0,0,3,,33
UMMZ.134618.supe.fo.f.00000001,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,forehead,0,0,0,0,1,,34
UMMZ.134618.supe.fo.f.00000002,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,forehead,0,0,0,0,2,,35
UMMZ.134618.supe.fo.f.00000003,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,forehead,0,0,0,0,3,,36
UMMZ.134618.supe.nb.f.00000001,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat band,0,0,0,0,1,,37
UMMZ.134618.supe.nb.f.00000002,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat band,0,0,0,0,2,,38
UMMZ.134618.supe.nb.f.00000003,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat band,0,0,0,0,3,,39
UMMZ.134618.supe.uc.f.00000001,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,1,,40
UMMZ.134618.supe.uc.f.00000002,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,2,,41
UMMZ.134618.supe.uc.f.00000003,UMMZ,birds,134618,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,3,,42
UMMZ.134619.supe.ba.f.00000001,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,back,0,0,0,0,1,,43
UMMZ.134619.supe.ba.f.00000002,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,back,0,0,0,0,2,,44
UMMZ.134619.supe.ba.f.00000003,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,back,0,0,0,0,3,,45
UMMZ.134619.supe.ch.f.00000001,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,breast,0,0,0,0,1,,46
UMMZ.134619.supe.ch.f.00000002,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,breast,0,0,0,0,2,,47
UMMZ.134619.supe.ch.f.00000003,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,breast,0,0,0,0,3,,48
UMMZ.134619.supe.cn.f.00000001,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat,0,0,0,0,1,,49
UMMZ.134619.supe.cn.f.00000002,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat,0,0,0,0,2,,50
UMMZ.134619.supe.cn.f.00000003,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat,0,0,0,0,3,,51
UMMZ.134619.supe.cr.f.00000001,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,crown,0,0,0,0,1,,52
UMMZ.134619.supe.cr.f.00000002,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,crown,0,0,0,0,2,,53
UMMZ.134619.supe.cr.f.00000003,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,crown,0,0,0,0,3,,54
UMMZ.134619.supe.fo.f.00000001,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,forehead,0,0,0,0,1,,55
UMMZ.134619.supe.fo.f.00000002,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,forehead,0,0,0,0,2,,56
UMMZ.134619.supe.fo.f.00000003,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,forehead,0,0,0,0,3,,57
UMMZ.134619.supe.nb.f.00000001,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat band,0,0,0,0,1,,58
UMMZ.134619.supe.nb.f.00000002,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat band,0,0,0,0,2,,59
UMMZ.134619.supe.nb.f.00000003,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,throat band,0,0,0,0,3,,60
UMMZ.134619.supe.uc.f.00000001,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,1,,61
UMMZ.134619.supe.uc.f.00000002,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,2,,62
UMMZ.134619.supe.uc.f.00000003,UMMZ,birds,134619,Aves,Coraciiformes,Meropidae,Merops,philippinus,,Female,adult,,,,,,,,,upper tail covert,0,0,0,0,3,,63
UMMZ.143458.lesc.ba.m.00000001,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,back,0,0,0,0,1,,64
UMMZ.143458.lesc.ba.m.00000002,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,back,0,0,0,0,2,,65
UMMZ.143458.lesc.ba.m.00000003,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,back,0,0,0,0,3,,66
UMMZ.143458.lesc.ch.m.00000001,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,breast,0,0,0,0,1,,67
UMMZ.143458.lesc.ch.m.00000002,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,breast,0,0,0,0,2,,68
UMMZ.143458.lesc.ch.m.00000003,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,breast,0,0,0,0,3,,69
UMMZ.143458.lesc.cn.m.00000001,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat,0,0,0,0,1,,70
UMMZ.143458.lesc.cn.m.00000002,UMMZ,birds,143658,Aves,Coraciiformes,Meropidae,Merops,leschenaulti,,Male,adult,,,,,,,,,throat,0,0,0,0,2,,71
